name,concentration,pharmaceutical_form,pharmaceutical_short_form,presentation
IBUPROFENO,100 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco x 120 mL
IBUPROFENO,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 120mL
IBUPROFENO,100 mg/ 5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
IBUPROFENO,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 120 mL
IBUPROFENO,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IBUPROFENO,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 120 mL
IBUPROFENO,400 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
IBUPROFENO,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
IBUPROFENO,600 mg,Tableta,TABLETA,Caja Envase Blister Tableta
IBUPROFENO,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
IBUPROFENO,600 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IBUPROFENO,800 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
IBUPROFENO,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
IBUPROFENO,800 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
IBUPROFENO,600 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
IBUPROFENO,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco X 60 mL
IBUPROFENO,100 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco X 60 mL
IBUPROFENO,800 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
IBUPROFENO,400 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
IBUPROFENO,600 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
IBUPROMIL-C,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
IBUSOFT 400,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IBUSOFT 400,400 mg,Tableta,TABLETA,Caja Envase Blister Tabletas Recubiertas
IBUSOL,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
IBUSOL,400 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas
IBUSOL,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
IBUSOL,400 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsula Blanda
IBUTRIN,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ICALIV,1 %,Crema,CREMA,Tubo X 20 g
ICLACITIDINA,100 mg,Polvo para Solución Inyectable,INYECTABLE,Caja vial
ICLUSIG,15 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ICONYL,1 g + 0.1 g + 0.05 g,Crema,CREMA,Tubo x 20 g
ICONYL,,Crema,CREMA,Caja Tubo x 10g
ICONYL,,Crema,CREMA,Tubo x 10 g
ICONYL ® D,1 g + 0.1700 g + 0.046 g/100 g,Crema,CREMA,Tubo x 20 g
ICONYL ® D,1 g + 0.1700 g + 0.046 g/ 100 g,Crema,CREMA,Caja Tubo x 20 g
ICONYL®,0.050 g + 1 g + 0.100 g,Crema,CREMA,Caja Tubo x 10 g
ICY HOT,,Crema,CREMA,Tubo x 35 g
ICY HOT,,Pomada,UNGUENTO,Pote X 100 g
ICY HOT,30 mg + 10 mg,Crema,CREMA,Caja Tubo x 35 g
IDARUBICINA,5 mg,Polvo para Solución Inyectable,INYECTABLE,Caja vial
IDARUBICINA CLORHIDRATO,5 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
IDELLE,0.5 mg,Ovulo,OVULO,Caja Envase Tira Ovulos
IDELLE,0.1 %,Crema Vaginal,CREMA,Tubo X 15 g
IDENA,150 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
IDENA,150 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister comprimidos recubiertos
IDO SAFE,7.5 %,Solución Tópica,SOLUCION,Frasco x 1 L
IDO SAFE,7.5 %,Solución,SOLUCION,Frasco Circuito Cerrado x 1 L
IDO SAFE,10 %,Solución,SOLUCION,Frasco x 60 mL
IDO SAFE,7.5 %,Solución,SOLUCION,Frasco x 60 mL
IDO SAFE,7.5 %,Solución Tópica,SOLUCION,Frasco X 120 mL
IDO SAFE,10 %,Solución,SOLUCION,Frasco x 1 L
IDO SAFE,10 %,Solución Tópica,SOLUCION,Frasco X 120 mL
IDO SAFE,7.5%,Solución Tópica,SOLUCION,Frasco x 60 mL
IDO SAFE ESPUMA,8.5 %,Solución Tópica,SOLUCION,Caja Frasco X 60 mL
IDO SAFE ESPUMA,8.5 %,Solución Tópica,SOLUCION,Frasco X 120 mL
IDO SAFE ESPUMA,8.5 %,Solución Tópica,SOLUCION,Frasco X 1L
IDOFIX,3.54 mg/ mL,Suspensión Oral,SUSPENSION,Caja Frasco x 120 mL + Accesorio
IDON,10 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco x 15 mL
IDON,10 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
IDON,10 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
IDON,10 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco gotero x 15 mL
IDON,10 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco x 15mL
IDOX 200,200 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
IFAXIM,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IFAXIM,200 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Cápsulas Blandas
IFOCRIS,1 g,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
IFOSFAMIDA,1 g,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
ILIMIT 15,15 mg,Comprimido,TABLETA,Caja Envase Blister Comprimidos
ILOCIN,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ILOCIN,250 mg/5mL,Granulos para Suspensión Oral,GRANULOS,Frasco x 60 mL
ILOSONE,250 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
ILOSONE,500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
ILTUX,20 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
ILTUX,40 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
ILTUX HCT,20 mg + 12.5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
ILTUX HCT,"40 mg + 12,5 mg",Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
ILTUX HCT,40 mg + 25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
ILTUXAM,40 mg + 5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
ILTUXAM,40 mg + 10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
ILTUXAM,20 mg + 5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
ILTUXAM HCT,40 mg + 5 mg + 12.5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
ILTUXAM HCT,40 mg + 5 mg + 25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
ILTUXAM HCT,40 mg + 10 mg + 25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
IMACORD 100,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IMACORD 400,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IMATIB 400,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IMATIM,500 mg + 500 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
IMATIN,500 mg + 500 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
IMATINIB,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IMBRUVICA,140 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IMBRUVICA,420 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IMBRUVICA,560 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IMBRUVICA,280 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IMBRUVICA®,140 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
IMCOBEX,1 mg/ 1 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
IMELDA,30 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blister Cápsula de Liberación Retarda
IMELDA,60 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blister Cápsula de Liberación Retarda
IMFINZI®,50 mg/ mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 2.4 mL
IMFINZI®,50 mg/ mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 10 mL
IMILAST,500 mg + 500 mg,Polvo para Solución Inyectable,INYECTABLE,Vial
IMIMORE,5 %,Crema,CREMA,Caja Tubo x 5 g
IMIPENEM + CILASTATINA,0.5 g + 0.5 g,Polvo para Solución Inyectable,INYECTABLE,Caja Vial x 20 mL
IMIPENEM + CILASTATINA,500 mg + 500 mg,Polvo para Solución para Perfusión,INYECTABLE,Caja Vial
IMIPENEM + CILASTATINA,0.5 g + 0.5 g,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
IMIPENEM + CILASTATINA,500 mg + 500 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
IMIPENEN + CILASTATINA,500 mg + 500 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
IMIQUAD,5 %,Crema,CREMA,Caja Sobres x 0.25 g
IMITIM,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
IMITIM,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
IMMUNOREL,5 %,Solución Inyectable,INYECTABLE,Caja Vial X 50 mL
IMMUNOREL,5 %,Solución Inyectable,INYECTABLE,Caja Vial X 100 mL
IMMUNORHO,300 mcg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial + Solvente X 1.2 mL
IMMUNORHO,300 mcg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial + Solvente x 2 mL
IMMUNOTETAN,250 UI/mL,Solución Inyectable,INYECTABLE,Caja Jeringa prellenada X 1 mL
IMOT OFTENO,0.5 %,Solución Oftálmica,SOLUCION OFTALMICA,Envase X 15 mL
IMOT OFTENO,0.5%,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 15 mL
IMOVAX POLIO,,Suspensión Inyectable,INYECTABLE,Vial X 1 Dosis
IMSUP,250 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsula
IMSUP 500,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
INCORIL 60,60 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
INDATACIN,25 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
INDERAL,40 mg,Tableta,TABLETA,Caja Envase Blister Cápsulas
INDERAL,10 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
INDOFLEX,1 % P/P,Solución Tópica,SOLUCION,Caja Frasco x 30 mL
INDOFLEX,1% P/P,Solución Tópica,SOLUCION,Caja Frasco x 50 mL
INDOMET,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
INDOMETACINA,25 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
INDOMETACINA,25 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
INDOMETACINA TAB REC,25 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
INDOXYL,,Gel,JALEA,Tubo X 30 g
INDUCTAL,2 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
INDUCTAL,3 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
INEDOL,200 mg / 5 mL,Polvo para Suspensión Oral,SUSPENSION,Caja Frasco x 45 mL
INEDOL,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
INEDOX,500 mg + 500 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
INFADOL,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
INFANRIX HEXA,,POLVO Y SUSPENSION PARA SUSPENSION INYECTABLE,INYECTABLE,Caja Jeringa Prellenada
INFANRIX IPV HIB,,Polvo para Suspensión Inyectable,INYECTABLE,"Caja Jeringa prellenada x 0,5 mL"
INFASURF,"35 mg + 0,7 mg/mL",Suspensión Endotraqueal,SUSPENSION,Caja Vial x 3 mL
INFECTRIM,200 mg + 40 mg/5mL,Suspensión Oral,SUSPENSION,caja Frasco x 60 mL
INFECTRIM BALSAMICO,200 mg + 40 mg + 50 mg/ 5 mL,Suspensión Oral,SUSPENSION,Frasco x 100 mL
INFECTRIM BALSAMICO,200 mg + 40 mg + 50 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 50 mL
INFECTRIM BALSAMICO,,Suspensión Oral,SUSPENSION,Frasco X 100 mL
INFECTRIM BALSAMICO,,Suspensión Oral,SUSPENSION,Frasco x 50 mL
INFECTRIM BALSAMICO,,Tableta,TABLETA,Caja Envase Blister Tabletas
INFECTRIM FORTE,800 mg + 160 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
INFECTRIM FORTE,400 mg + 80 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco x 100 mL
INFESUL,200 mg + 40 mg/ 5 mL,Suspensión Oral,SUSPENSION,Frasco x 60 mL
INFESUL-F,800 mg + 160 mg,Tableta,TABLETA,Caja Envase Blister Tableta
INFINIX®,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
INFINIX®,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
INFLUVAC TETRA,,Suspensión Inyectable,INYECTABLE,Caja Jeringa Prellenada x 0.5 mL + accesorio
INFURIN,100 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blister Cápsula de Liberación Prolongada
INFURIN,25 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 120 mL
INGOLY 0.5,0.5 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
INHARANE,100 %,Solución para Inhalación,AEROSOL,Caja Frasco x 250 mL
INKABIOTIC,300 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
INLYTA,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
INLYTA,1 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
INMUNO-C10,10 g/ 20 mL,Solución Inyectable,INYECTABLE,Caja Vial x 20 mL
INMUNOGLOBULINA HUMANA,5 %,Solución Inyectable,INYECTABLE,Caja vial X 100 mL
INMUNOGLOBULINA HUMANA CONTRA LA HEPATITIS B,100 UI/mL,Solución Inyectable,INYECTABLE,Vial
INSOM,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
INSOM,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos Recubiertos
INSPRA,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
INSPRA,25 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
INSTGRA,50 mg,Tableta Recubierta,TABLETA,Caja Frasco Tabletas Recubiertas
INSTILLAGEL,2 g + 0.05 g,Gel,JALEA,Caja Jeringa prellenada  x 11 mL
INSULINA HUMANA RECOMBINANTE,100 UI/mL,Solución Inyectable,INYECTABLE,Vial x 10 mL
INSULINA ISOFANA HUMANA RECOMBINANTE,100 UI/mL,Suspensión Inyectable,INYECTABLE,Vial x 10 mL
INTELENCE,100 mg,Comprimido,TABLETA,Caja Frasco Comprimidos
INTELENCE,200 mg,Tableta,TABLETA,Caja Frasco Comprimidos
INTRAMOL,5 mg/mL,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco x 5 mL
INTRATECT,5 g/100 mL,Solución para Perfusión,INYECTABLE,Caja Vial x 50 mL
INTRATECT,5 g/100 mL,Solución para Perfusión,INYECTABLE,Caja Vial x 100 mL
INVANZ,1 g,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
INVEGA SUSTENNA,75 mg/ 0.75 mL,Suspensión inyectable de liberación prolongada,INYECTABLE,Caja Jeringa prellenada + Accesorio
INVEGA SUSTENNA,100 mg/ 1.0 mL,Suspensión inyectable de liberación prolongada,INYECTABLE,Caja Jeringa Prellenada + Accesorio
INVEGA SUSTENNA,"150 mg/ 1,5 mL",Suspensión inyectable de liberación prolongada,INYECTABLE,Caja Jeringa Prellenada + Accesorio
INVEGA SUSTENNA,75 mg/0.75 mL,Suspensión Inyectable,INYECTABLE,Caja Jeringa prellenada + Accesorios
INVEGA SUSTENNA,100 mg/mL,Suspensión Inyectable,INYECTABLE,Caja Jeringa precargada + Accesorios
INVEGA SUSTENNA,150 mg/1.5 mL,Suspensión Inyectable,INYECTABLE,Caja Jeringa precargada + Accesorios
INVICTUS,5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
INVICTUS,20 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
INVOKANA,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Tabletas
INVOKANA,300 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Tabletas
IOBRAM,2 mg/ mL,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco x 5 mL
IOBRAM 0.15,1.5 mg / mL,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
IONIL-T,4.25 g + 2 g,Champú,CHAMPU,Caja Frasco x 200 mL
IONIL-T,4.25 g + 2 g,Champú,CHAMPU,Caja Frasco x 125 mL
IOR LEUKOCIM,0.30 mg/mL,Solución Inyectable,INYECTABLE,Caja Vial X 1 mL
IP MAX,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
I-PATRIMUL,20 ug/ dosis,Aerosol para Inhalación,AEROSOL,Caja Envase Aerosol x 200 Dosis
I-PATRIMUL COMPUESTO,20 µg + 100 µg/ Dosis,Aerosol para Inhalación,AEROSOL,Caja Envase Aerosol x 200 Dosis
IPEXAL,150 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
IPEXAL,150 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
IPICLAV,875 mg + 125 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
IPICLOR-12.5,12.5 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
IPICLOR-25,25 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
IPRAPHARM 20,20 mcg/ dosis,Aerosol para Inhalación,AEROSOL,Caja Envase Aerosol x 200 Dosis
IPRAPHARM 20,20 µg/Dosis,Aerosol para Inhalación,AEROSOL,Caja Envase Aerosol x 200 Dosis
IPRODIAL 150,150 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
IPRODIAL 300,300 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
IRAMICINA,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IRAMICINA,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Comprimidos
IRAXEN,550 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
IRBECARD H 300/25,300 mg + 25 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IRBECARD® 150,150 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IRBECARD® 300,300 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IRBELAB,150 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
IRBELAB 300,300 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
IRBELAB DUO 150,150 mg + 12.5 mg,Tableta,TABLETA,Caja Folio Tabletas
IRBELAB DUO 150,"150 mg + 12,5 mg",Tableta,TABLETA,Caja Envase Folio Tabletas
IRBELAB DUO 300,"300 mg + 12,5 mg",Tableta,TABLETA,Caja Envase Folio Tabletas
IRBELAB DUO 300,300 mg + 12.5 mg,Tableta,TABLETA,Caja Folio Tabletas
IRBESAMED,300 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
IRBESAMED,150 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
IRBESARTAN,150 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
IRBESARTAN,150 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IRBESARTAN,300 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IRBESARTAN,150 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
IRBESARTAN,300 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IRBESARTAN,150 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IRBESARTAN,300 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
IRBESARTAN,150 mg,Tableta,TABLETA,Caja Envase Folio Tabletas
IRBESARTAN,150 mg,Tableta,TABLETA,Caja Envase Blister Tableta
IRBESARTAN,300 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
IRBESARTAN,150 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
IRBESEL HC,300 mg + 25 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IRBESEL HC,300 mg + 12.5 mg,Tableta,TABLETA,Caja Envase Folio Tableta
IRBESEL HC,150 mg + 12.5 mg,Tableta,TABLETA,Caja Envase Folio Tabletas
IRBESEL®,300 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IRBESEL®,150 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IRBESEL® HC,300 mg + 12.5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IRBESEL® HC,150 mg + 12.5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IRBETIAZID 300,300 mg + 12.5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
IRBETT 150,150 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
IRBETT 300,300 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
IRBETT 300,300 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
IRBEVITAE,300 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
IRBEVITAE,150 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
IRBEVITAE PLUS,150 mg + 12.5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
IRBEVITAE PLUS,300 mg + 12.5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
IRINOTECAN,100 mg/5 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial X 100 mL
IRINOTECAN,100 mg/5 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja vial X 5 mL
IRINOTECAN,100 mg/5 mL,Solución Inyectable,INYECTABLE,Caja Vial x 5 mL
IRINOTECAN CLORHIDRATO,100 mg/5 mL,Solución Inyectable,INYECTABLE,Caja Vial x 5 mL
IRIX,15 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimido
IRONFOC®,100 mg/ 5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
IROVEL 150,150 mg,Tableta,TABLETA,Caja Envase Folio Tableta
IROVEL 150,150 mg,Tableta,TABLETA,Caja Envase Folio Tabletas
IROVEL 150,150 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
IRRICER PLUS,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
IRRICER PLUS,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
IRRICOLINA,30 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
IRRICOLINA,30 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas
IRRICOLINA,30 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IRRICOLINA,30 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IRRICOLINA PLUS,,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
IRRICOLINA PLUS,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
IRRIDEX,30 mg + 100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
IRRIDEX NF,30 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
IRRIGEN PLUS,30 mg + 100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
IRRIGOR,30 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
IRRIGOR,30 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
IRRIGOR FORTE,60 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
IRRIGOR PLUS,100 mg + 30 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos
IRRIGOR PLUS,100 mg + 30 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
IRRIGOR PLUS,30 mg + 100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
ISANA,1 %,Crema,CREMA,Caja Tubo x 15 g
ISBELA,2 mg + 0.035 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster x 21 Tabletas Recubiertas
ISELAR,150 mg/ mL,Suspensión Inyectable,INYECTABLE,Caja Jeringa Precargada + Accesorio
ISENTRESS,400 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
ISENTRESS,100 mg,Comprimido Masticable,TABLETA,Caja Frasco Comprimidos
ISENTRESS,400 mg,Comprimido Recubierto,TABLETA,Caja Frasco Comprimidos
ISENTRESS HD,600 mg,Comprimido Recubierto,TABLETA,Caja Frasco Comprimido Recubierto
ISMIGEN,50 mg,Comprimido Sublingual,TABLETA,Caja Envase Blíster Comprimidos
ISOB20,20 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
ISOCHECK,20 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas
ISOCHECK 10,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas
ISOCLER®,20 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas
ISOCLER®,20 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsula Blanda
ISOCONAZOL,1 %,Crema,CREMA,Caja Tubo x 20 g
ISOCONAZOL,1 %,Crema,CREMA,Tubo X 20 g
ISODINE,200 mg,Ovulo,OVULO,Caja Envase Blister Ovulos
ISODINE,10 %,Solución Tópica,SOLUCION,Frasco x 120 mL
ISODINE,10 %,Solución Tópica,SOLUCION,Frasco x 1 L
ISODINE,10%,Solución Tópica,SOLUCION,Caja Frasco gotero x 20 mL
ISODINE,10 %,Solución Tópica,SOLUCION,Frasco x 60 mL
